metric,fiscal_year,value,unit,sec_tag,filing_date,filing_fiscal_year,form_type,period_start,period_end,accession,source_url,api_url,value_type,status,missing_reason,priority
total_assets,2020,2819627000000,USD,us-gaap:Assets,2021-02-24,2020,10-K,,2020-12-31,0000070858-21-000023,https://www.sec.gov/Archives/edgar/data/70858/000007085821000023/0000070858-21-000023-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
total_assets,2020,2819627000000,USD,us-gaap:Assets,2022-02-22,2021,10-K,,2020-12-31,0000070858-22-000062,https://www.sec.gov/Archives/edgar/data/70858/000007085822000062/0000070858-22-000062-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
total_assets,2021,3169495000000,USD,us-gaap:Assets,2022-02-22,2021,10-K,,2021-12-31,0000070858-22-000062,https://www.sec.gov/Archives/edgar/data/70858/000007085822000062/0000070858-22-000062-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
total_assets,2021,3169495000000,USD,us-gaap:Assets,2023-02-22,2022,10-K,,2021-12-31,0000070858-23-000092,https://www.sec.gov/Archives/edgar/data/70858/000007085823000092/0000070858-23-000092-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
total_assets,2022,3051375000000,USD,us-gaap:Assets,2023-02-22,2022,10-K,,2022-12-31,0000070858-23-000092,https://www.sec.gov/Archives/edgar/data/70858/000007085823000092/0000070858-23-000092-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
total_assets,2022,3051375000000,USD,us-gaap:Assets,2024-02-20,2023,10-K,,2022-12-31,0000070858-24-000122,https://www.sec.gov/Archives/edgar/data/70858/000007085824000122/0000070858-24-000122-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
total_assets,2023,3180151000000,USD,us-gaap:Assets,2024-02-20,2023,10-K,,2023-12-31,0000070858-24-000122,https://www.sec.gov/Archives/edgar/data/70858/000007085824000122/0000070858-24-000122-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
total_assets,2023,3180151000000,USD,us-gaap:Assets,2025-02-25,2024,10-K,,2023-12-31,0000070858-25-000139,https://www.sec.gov/Archives/edgar/data/70858/000007085825000139/0000070858-25-000139-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
total_assets,2024,3261519000000,USD,us-gaap:Assets,2025-02-25,2024,10-K,,2024-12-31,0000070858-25-000139,https://www.sec.gov/Archives/edgar/data/70858/000007085825000139/0000070858-25-000139-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
total_assets,2024,3261299000000,USD,us-gaap:Assets,2026-02-25,2025,10-K,,2024-12-31,0000070858-26-000157,https://www.sec.gov/Archives/edgar/data/70858/000007085826000157/0000070858-26-000157-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
total_assets,2025,3411738000000,USD,us-gaap:Assets,2026-02-25,2025,10-K,,2025-12-31,0000070858-26-000157,https://www.sec.gov/Archives/edgar/data/70858/000007085826000157/0000070858-26-000157-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
total_loans,2021,979124000000,USD,us-gaap:FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLoss,2023-02-22,2022,10-K,,2021-12-31,0000070858-23-000092,https://www.sec.gov/Archives/edgar/data/70858/000007085823000092/0000070858-23-000092-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
total_loans,2022,1045747000000,USD,us-gaap:FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLoss,2023-02-22,2022,10-K,,2022-12-31,0000070858-23-000092,https://www.sec.gov/Archives/edgar/data/70858/000007085823000092/0000070858-23-000092-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
total_loans,2022,1045747000000,USD,us-gaap:FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLoss,2024-02-20,2023,10-K,,2022-12-31,0000070858-24-000122,https://www.sec.gov/Archives/edgar/data/70858/000007085824000122/0000070858-24-000122-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
total_loans,2023,1053732000000,USD,us-gaap:FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLoss,2024-02-20,2023,10-K,,2023-12-31,0000070858-24-000122,https://www.sec.gov/Archives/edgar/data/70858/000007085824000122/0000070858-24-000122-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
total_loans,2023,1053732000000,USD,us-gaap:FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLoss,2025-02-25,2024,10-K,,2023-12-31,0000070858-25-000139,https://www.sec.gov/Archives/edgar/data/70858/000007085825000139/0000070858-25-000139-index.html,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,reported,available,,0
